id,title,year,abstract
10.1.1.93.4031,The Bulk Index Join: A Generic Approach to Processing Non-Equijoins,1999,"Efficient join algorithms have been developed for processing different types of non-equijoins like spatial join, band join, temporal join or similarity join. Each of these previously proposed join algorithms is tailor-cut for a specific type of join, and a generalization of these algorithms to other join types is not obvious. We present an efficient algorithm called bulk index join that can be easily applied to a broad class of non-equijoins. Similar to the well-known hash join algorithms, the bulk index join performs in two phases. In the build-phase, an appropriate index structure is created that serves as a partitioning function on the first relation. In the probing-phase, the records of the second relation are probed against the first relation by using the index structure of the build-phase. In order to support both phases efficiently, we adopt a technique recently proposed for bulk loading index structures. We show that this technique can also be exploited for probing the tuples of the second relation in bulk. Similar to the generic bulk loading approach, only a predefined set of routines of the index structure is used for implementing our join algorithm. This set is generally available in tree-based index structures. The so-called band join serves as an example in this paper. We first discuss in detail how to apply our generic approach to the band join. Thereafter, we present a worst-case analysis and experimental results. Moreover, we show in our experiments that the well-known index nested loops join can benefit from performing queries in bulk as it is proposed for the probing-phase of the bulk index join. 1"
10.1.1.90.6865,Abstract,2003,"In this paper we present a sublinear time (1+ɛ)-approximation randomized algorithm to estimate the weight of the minimum spanning tree of an n-point metric space. The running time of the algorithm is � O(n/ɛ O(1)). Since the full description of an n-point metric space is of size Θ(n 2), the complexity of our algorithm is sublinear with respect to the input size. Our algorithm is almost optimal as it is not possible to approximate in o(n) time the weight of the minimum spanning tree to within any factor. Furthermore, it has been previously shown that no o(n 2) algorithm exists that returns a spanning tree whose weight is within a constant times the optimum."
10.1.1.89.9207,Write Markers for Probabilistic Quorum Systems,2007,"Probabilistic quorum systems can tolerate a larger fraction of faults than can traditional (strict) quorum systems, while guaranteeing consistency with an arbitrarily high probability for a system with enough replicas. However, they are hampered in that, like strict quorum systems, they allow for Byzantine-faulty servers to collude maximally to provide incorrect values to clients. We present a technique based on write markers that prevents faulty servers from colluding unless they are all also selected to be participants in the same update operations. We show that write markers increase the maximum fraction of faults that can be tolerated to b < n/2 from b < n/2.62, where n is the total number of replicas, for probabilistic masking quorum systems (compared with b < n/4 for strict masking quorum systems) and to b < n/2.62 from b < n/3.15 for probabilistic opaque quorum systems (compared with b < n/5 for strict opaque quorum systems). In addition, with write markers, probabilistic masking quorums no longer require write quorums of large or maximal size in order to tolerate the maximum fraction of faults. We describe an implementation of write markers that is effective even if Byzantine clients collude with faulty servers. This work was partially supported by NSF grant CCF-0424422."
10.1.1.89.6320,Speculative execution and instruction-level parallelism,1994,"research relevant to the design and application of high performance scientific computers. We test our ideas by designing, building, and using real systems. The systems we build are research prototypes; they are not intended to become products. There is a second research laboratory located in Palo Alto, the Systems Research Center (SRC). Other Digital research groups are located in Paris (PRL) and in Cambridge,"
10.1.1.88.1359,Write Markers for Probabilistic Quorum Systems,2007,"Probabilistic quorum systems can tolerate a larger fraction of faults than can traditional (strict) quorum systems, while guaranteeing consistency with an arbitrarily high probability for a system with enough replicas. However, they are hampered in that, like strict quorum systems, they allow for Byzantine-faulty servers to collude maximally to provide incorrect values to clients. We present a technique based on write markers that prevents faulty servers from colluding unless they are all also selected to be participants in the same update operations. We show that write markers increase the maximum fraction of faults that can be tolerated to b < n/2 from b < n/2.62, where n is the total number of replicas, for probabilistic masking quorum systems (compared with b < n/4 for strict masking quorum systems) and to b < n/2.62 from b < n/3.15 for probabilistic opaque quorum systems (compared with b < n/5 for strict opaque quorum systems). In addition, with write markers, probabilistic masking quorums no longer require write quorums of large or maximal size in order to tolerate the maximum fraction of faults. We describe an implementation of write markers that is effective even if Byzantine clients collude with faulty servers. This work was partially supported by NSF grant CCF-0424422."
10.1.1.87.9361,Chapter 7 Depth estimation via sampling,2008,"“Maybe the Nazis told the truth about us. Maybe the Nazis were the truth. We shouldn’t forget that: perhaps they were the truth. The rest, just beautiful lies. We’ve sung many beautiful lies about ourselves. Perhaps that’s what I’m trying to do- to sing another beautiful lie.” – –The roots of heaven, Romain Gary In this chapter, we introduce a “trivial ” but yet powerful idea. Given a set S of objects, a point p that is contained in some of the objects, and let its weight be the number of objects that contains it. We can estimate the depth/weight of p by counting the number of objects that contains it in a random sample of the objects. In fact, by considering points induced by the sample, we can bound the number of “light ” vertices induced by S. This idea can be extended to bounding the number of “light ” configurations induced by a set of objects. This approach leads to a sequence of short, beautiful, elegant and correct  proofs of several hallmark results in discrete geometry. While the results in this chapter are not directly related to approximation algorithms, the insights and general approach would be useful for us later, or so one hopes. 7.1 The at most k-levels Let L be a set of n lines in the plane. A point p ∈  � ℓ∈L ℓ is of level k, if there are k lines of L strictly below it. The k-level is the closure of set of points of level k. Namely, the k-level is an x-monotone curve along the lines of L."
10.1.1.87.808,Chord: A Scalable Peer-to-Peer Lookup Service for Internet Applications,2001,"Efficiently determining the node that stores a data item in a distributed network is an important and challenging problem. This paper describes the motivation and design of the Chord system, a decentralized lookup service that stores key/value pairs for such networks. The Chord protocol takes as input an ¡-bit identifier (derived by hashing a higher-level applicationspecific key), and returns the node that stores the value corresponding to the key. Each Chord node is identified by an ¡-bit identifier and each node stores the key identifiers in the system closest to the node’s identifier. Each node maintains an ¡-entry routing table that allows it to look up keys efficiently. Results from theoretical analysis, simulations, and experiments show that Chord is incrementally scalable, with insertion and lookup costs scaling logarithmically with the number of Chord nodes. 1"
10.1.1.87.7740,Is MPI Suitable for a Generative Design-Pattern System?,,"Generative parallel design patterns is a proven technique to improve the productivity of parallel program development. However many of the generative design-pattern systems are developed for target languages that are not widely used by the high performance computing community. This paper describes an initial effort to develop a system that will hopefully answer the question in the title in the affirmative. This new system is ostensively based on, and build upon the experience with, the successful CO2P3S. Significant challenges must be overcome to implement the features of a system that generates frameworks conceived for an object-oriented programming language (Java) into a parallel-annotated procedural language (MPI/C). 1"
10.1.1.87.2959,Graph kernels versus graph representations: a case study in parse ranking,,"Abstract. Recently, several kernel functions designed for a data that consists of graphs have been presented. In this paper, we concentrate on designing graph representations and adapting the kernels for these graphs. In particular, we propose graph representations for dependency parses and analyse the applicability of several variations of the graph kernels for the problem of parse ranking in the domain of biomedical texts. The parses used in the study are generated with the link grammar (LG) parser from annotated sentences of BioInfer corpus. The results indicate that designing the graph representation is as important as designing the kernel function that is used as the similarity measure of the graphs. 1"
10.1.1.86.6095,and Reasoning about Programs,,"In this paper, we present a new algorithm for partial program verification that runs in polynomial time and space. We are interested in checking that a program satisfies a given temporal safety property. Our insight is that by accurately modeling only those branches in a program for which the property-related behavior differs along the arms of the branch, we can design an algorithm that is accurate enough to verify the program with respect to the given property, without paying the potentially exponential cost of full pathsensitive analysis. We have implemented this “property simulation ” algorithm as part of a partial verification tool called ESP. We present the results of applying ESP to the problem of verifying the file I/O behavior of a version of the GNU C compiler (gcc, 140,000 LOC). We are able to prove that all of the 646 calls to fprintf in the source code of gcc are guaranteed to print to valid, open files. Our results show that property simulation scales to large programs and is accurate enough to verify meaningful properties."
10.1.1.86.5219,The analytic theory of matrix orthogonal polynomials,2008,We survey the analytic theory of matrix orthogonal polynomials.
10.1.1.85.9375,Detecting Causal Relationships in Distributed Computations,1994,"Abstract: The paper shows that characterizing the causal relationship between significant events is an important but non-trivial aspect for understanding the behavior of distributed programs. An introduction to the notion of causality and its relation to logical time is given; some fundamental results concerning the characterization of causality are presented. Recent work on the detection of causal relationships in distributed computations is surveyed. The relative merits and limitations of the different approaches are discussed, and their general feasibility is analyzed."
10.1.1.85.5694,Joint nonparametric alignment for analyzing spatial gene expression patterns in drosophila imaginal discs,,"To compare spatial patterns of gene expression, one must analyze a large number of images as current methods are only able to measure a small number of genes at a time. Bringing images of corresponding tissues into alignment is a critical first step in making a meaningful comparative analysis of these spatial patterns. Significant image noise and variability in the shapes make it hard to pick a canonical shape model. In this paper, we address these problems by combining segmentation and unsupervised shape learning algorithms. We first segment images to acquire structures of interest, then jointly align the shapes of these acquired structures using an unsupervised nonparametric maximum likelihood algorithm along the lines of ‘congealing’ [12], while simultaneously learning the underlying shape model and associated transformations. The learned transformations are applied to corresponding images to bring them into alignment in one step. We demonstrate the results for images of various classes of Drosophila imaginal discs and discuss the methodology used for a quantitative analysis of spatial gene expression patterns. 1."
10.1.1.84.9931,"2 Microsoft Research,",,"Abstract. Many approaches to object recognition are founded on probability theory, and can be broadly characterized as either generative or discriminative according to whether or not the distribution of the image features is modelled. Generative and discriminative methods have very different characteristics, as well as complementary strengths and weaknesses. In this chapter we introduce new generative and discriminative models for object detection and classification based on weakly labelled training data. We use these models to illustrate the relative merits of the two approaches in the context of a data set of widely varying images of non-rigid objects (animals). Our results support the assertion that neither approach alone will be sufficient for large scale object recognition, and we discuss techniques for combining the strengths of generative and discriminative approaches. 1"
10.1.1.84.497,Pacific Symposium on Biocomputing 8:565-576(2003) FUNCTIONAL DISCRIMINATION OF GENE EXPRESSION PATTERNS IN TERMS OF THE GENE ONTOLOGY,,"The ever-growing amount of experimental data in molecular biology and genetics requires its automated analysis, by employing sophisticated knowledge discovery tools. We use an Inductive Logic Programming (ILP) learner to induce functional discrimination rules between genes studied using microarrays and found to be differentially expressed in three recently discovered subtypes of adenocarcinoma of the lung. The discrimination rules involve functional annotations from the Proteome HumanPSD database in terms of the Gene Ontology, whose hierarchical structure is essential for this task. While most of the lower levels of gene expression data (pre)processing have been automated, our work can be seen as a step toward automating the higher level functional analysis of the data. We view our application not just as a prototypical example of applying more sophisticated machine learning techniques to the functional analysis of genes, but also as an incentive for developing increasingly more sophisticated functional annotations and ontologies, that can be automatically processed by such learning algorithms. 1 Introduction and"
10.1.1.83.5547,An RPC mechanism for transportable agents,1996,"Transportable agents are autonomous programs that migrate from machine to machine, performing complex processing at each step to satisfy client requests. As part of their duties agents often need to communicate with other agents. We propose to use remote procedure call (RPC) along with a exible interface de nition language (IDL), to add structure to inter-agent communication. The real power of our Agent RPC comes from a client-server binding mechanism based on exible IDL matching and from support for multiple simultaneous bindings. Our agents are programmed in Agent Tcl�we describe how the Tcl implementation made RPC particularly easy to implement. Finally, although our RPC is designed for Agent Tcl programs, the concepts would also work for standard Tcl programs."
10.1.1.81.7810,BUREAU OF ECONOMICS,2004,"The authors are economists in the Bureau of Economics, Federal Trade Commission. The views expressed in this report are those of the authors and do not necessarily represent the views of the Federal Trade Commission or any individual Commissioner. ii ACKNOWLEDGMENTS The authors greatly thank Kata Mihaly who contributed tremendously to the data management, computer programming, and statistical analysis for this study. The authors also thank everyone who provided helpful suggestions on the study design, valuable assistance in the data analysis, or thoughtful comments on the"
10.1.1.81.6808,Managing Change in Information Systems: Technological Challenges,,"Abstract: Information systems and other computer-based systems must continuously undergo change in order to reflect change in their environments. The present technology used to implement such systems, including models, methods, tools and languages, does not have an inherent understanding of the nature of evolution. The rigidity of existing systems is a hindrance for user requested enhancements. Propagating changes correctly is a particular problem. It is common to find that necessary changes consequent on some other change have not been made, so that the system is inconsistent and will eventually fail to operate correctly. The paper discusses tools for system maintenance and focuses on the issue of automation. A tool that automatically generates and maintains all the information it needs is presented. To provide more information about the form and extent of the evolution in real-world systems, the same tool was instructed to collect change measurements. Information about the evolution of a large health management system was recorded over a period of 18 months. Methods for and problems of automatic change measurements collection are discussed. 1"
10.1.1.81.6408,Abstract,2006,"In this paper we use a computer model of social capital to explore and develop a computational social theory of the anthropological or interpretive notion of the sub jectivity (Ortner 2005). The cultural sub jectivity is a social theory of the reflexive actor that is historically situated in a material and cultural context. It is important for computational social science to begin developing tools to represent the dimensions of the actor in terms of the sub jectivity because it recognizes and seeks to explain the complexity of human feelings and fears in creating meaning and in taking action. Theories of sub jectivity also offer a model of human action and play that is neither universal nor individual. Developing a computational social theory of the sub jectivity is an impossible and improbable task, however, in seeking to develop this theory in code we might be able to posit clearer questions in social research regarding the sub jectivity and explore the operational limits of computational social science, which is a theory in itself. Also accounting for how complex structures of feeling and experienceanxieties, fears, dreams, hopes and the likedevelop as a component inside complex social organizations, ones that can be rigorously explored with computational methods, a foundation can be created for a critical computational social science. Contact:"
10.1.1.81.4430,TOPOLOGICAL CONJUGACY BETWEEN APERIODIC TILING DYNAMICAL SYSTEMS,,We extend to certain aperiodic tiling dynamical systems associated with an underlying substitution a geometric invariant for topological conjugacy.
10.1.1.81.3129,Using phrasal patterns to identify discourse relations,2006,"This paper describes a system which identifies discourse relations between two successive sentences in Japanese. On top of the lexical information previously proposed, we used phrasal pattern information. Adding phrasal information improves the system's accuracy 12%, from 53 % to 65%. 1"
10.1.1.81.3109,Contents,1995,"Printed copies available from the following: The use of trademarks or names of manufacturers in this report is for accurate reporting and does not constitute an official endorsement, either expressed or implied, of such products or manufacturers by the National Aeronautics and Space Administration. Arvind R. Prabhu, Analytical Services & Materials, Inc., Hampton, Virginia, has also contributed to the development of the Thermal Imaging Application. Work was supported under contracts NAS1-"
10.1.1.81.1567,Non-Leftmost Unfolding in Partial Evaluation of Logic Programs with Impure Predicates,2006,"Abstract. Partial evaluation of logic programs which contain impure predicates poses non-trivial challenges. Impure predicates include those which produce side-effects, raise errors (or exceptions), and those whose truth value varies according to the degree of instantiation of arguments 4. In particular, non-leftmost unfolding steps can produce incorrect results since the independence of the computation rule no longer holds in the presence of impure predicates. Existing proposals allow non-leftmost unfolding steps, but at the cost of accuracy: bindings and failure are not propagated backwards to predicates which are potentially impure. In this work we propose a partial evaluation scheme which substantially reduces the situations in which such backpropagation has to be avoided. With this aim, our partial evaluator takes into account the information about purity of predicates expressed in terms of assertions. This allows achieving some optimizations which are not feasible using existing partial evaluation techniques. We argue that our proposal goes beyond existing ones in that it is a) accurate, since the classification of pure vs impure is done at the level of atoms instead of predicates, b) extensible, as the information about purity can be added to programs using assertions without having to modify the partial evaluator itself, and c) automatic, since (backwards) analysis can be used to automatically infer the required assertions. Our approach has been implemented in the context of CiaoPP, the abstract interpretation-based preprocessor of the Ciao logic programming system. 1"
10.1.1.81.1247,'One is a Lonely Number': on the logic of communication,,"Abstract Logic is not just about single-agent notions like reasoning, or zero-agent notions like truth, but also about communication between two or more people. What we tell and ask each other can be just as 'logical ' as what we infer in Olympic solitude. We show how such interactive phenomena can be studied systematically by merging epistemic and dynamic logic. 1 Logic in a social setting 1.1 Questions and answers Consider the simplest type of communication: a question–answer episode between two agents. Here is a typical example. Being a Batavian soldier – a German tribe in the Rhine delta of proverbial valour – I approach you in a busy Roman street, A.D. 160, intent on contacting my revered general Maximus, now a captive, and ask: 1 Q Is this the road to the Colosseum? As a well-informed and helpful Roman citizen, you answer A Yes. This is the sort of thing that we all do competently millions of times in our lives."
10.1.1.80.6347,MEAD - a platform for multidocument multilingual text summarization,2004,"This paper describes the functionality of MEAD, a comprehensive, public domain, open source, multidocument multilingual summarization environment that has been thus far downloaded by more than 500 organizations. MEAD has been used in a variety of summarization applications ranging from summarization for mobile devices to Web page summarization within a search engine and to novelty detection. 1."
10.1.1.80.4504,Fundamental Theorem of Algebra 1 MML Identifier:POLYNOM5.,,"provide the notation and terminology for this paper. One can prove the following propositions: 1. PRELIMINARIES (1) For all natural numbers n, m such that n � = 0 and m � = 0 holds (n · m − n − m)+1 ≥ 0. (2) For all real numbers x, y such that y> 0 holds min(x,y) max(x,y)  ≤ 1. (3) For all real numbers x, y such that for every real number c such that c> 0 and c < 1 holds c · x ≥ y holds y ≤ 0. (4) Let p be a finite sequence of elements of R. Suppose that for every natural number n such that n ∈ dom p holds p(n)  ≥ 0. Let i be a natural number. If i ∈ dom p, then ∑ p ≥ p(i). (5) For all real numbers x, y holds −(x+yiCF)  = −x+(−y)iCF. (6) For all real numbers x1, y1, x2, y2 holds (x1 + y1iCF)  − (x2 + y2iCF)  = (x1 − x2) + (y1 − y2)iCF. In this article we present several logical schemes. The scheme ExDHGrStrSeq deals with a non empty groupoidA and a unary functorF yielding an element ofA, and states that: There exists a sequence S ofA such that for every natural number n holds S(n) = F (n) for all values of the parameters. The scheme ExDdoubleLoopStrSeq deals with a non empty double loop structureA and a unary functorF yielding an element ofA, and states that: There exists a sequence S ofA such that for every natural number n holds S(n) = F (n) for all values of the parameters. The following proposition is true (8) 1 For every element z of CF such that z � = 0CF |power CF (z, n) |  = |z|n."
10.1.1.80.2858,Attacks on Bresson-Chevassut-Essiari-Pointcheval’s Group Key Agreement Scheme for Low-Power Mobile Devices. Available at http://eprint.iacr.org/2004/251,2004,"Abstract. In this paper, we show that Bresson-Chevassut-Essiari-Pointcheval’s group key agreement scheme does not meet the main security properties: implicit key authentication, forward secrecy, and known key security. Also, we propose an improved version which fixes the security flaws found in the scheme."
10.1.1.8.817,Predictive Models for the Breeder Genetic Algorithm I. Continuous Parameter Optimization,1993,In this paper a new genetic algorithm called the Breeder Genetic Algorithm  (BGA) is introduced. The BGA is based on artificial selection  similar to that used by human breeders. A predictive model for the BGA is  presented which is derived from quantitative genetics. The model is used to  predict the behavior of the BGA for simple test functions. Different mutation  schemes are compared by computing the expected progress to the solution.
10.1.1.79.838,Optimistic Active Learning using Mutual Information,,"An “active learning system ” will sequentially decide which unlabeled instance to label, with the goal of efficiently gathering the information necessary to produce a good classifier. Some such systems greedily select the next instance based only on properties of that instance and the few currently labeled points — e.g., selecting the one closest to the current classification boundary. Unfortunately, these approaches ignore the valuable information contained in the other unlabeled instances, which can help identify a good classifier much faster. For the previous approaches that do exploit this unlabeled data, this information is mostly used in a conservative way. One common property of the approaches in the literature is that the active learner sticks to one single query selection criterion in the whole process. We propose a system, MM+M, that selects the query instance that is able to provide the maximum conditional mutual information about the labels of the unlabeled instances, given the labeled data, in an optimistic way. This approach implicitly exploits the discriminative partition information contained in the unlabeled data. Instead of using one selection criterion, MM+M also employs a simple on-line method that changes its selection rule when it encounters an “unexpected label”. Our empirical results demonstrate that this new approach works effectively. 1"
10.1.1.79.7931,Abstract Automated Hoarding for Mobile Computers,,"common problem facing mobile computing is disconnected operation, or computing in the absence of a network. Hoarding eases disconnected operation by selecting a subset of the user’s files for local storage. We describe a hoarding system that can operate without user intervention, by observing user activity and predicting future needs. The system calculates a new measure, semantic distance, between individual files, and uses this to feed a clustering algorithm that chooses which files should be hoarded. A separate replication system manages the actual transport of data; any of a number of replication systems may be used. We discuss practical problems encountered in the real world and present usage statistics showing that our system outperforms previous approaches by factors that can exceed 10:1."
10.1.1.79.6953,BUREAU OF ECONOMICS,2004,"The authors are economists in the Bureau of Economics, Federal Trade Commission. The views expressed in this report are those of the authors and do not necessarily represent the views of the Federal Trade Commission or any individual Commissioner. ii ACKNOWLEDGMENTS The authors greatly thank Kata Mihaly who contributed tremendously to the data management, computer programming, and statistical analysis for this study. The authors also thank everyone who provided helpful suggestions on the study design, valuable assistance in the data analysis, or thoughtful comments on the"
10.1.1.79.46,Design for a decentralized security system for network-attached storage,2000,"This paper describes an architecture for a secure file system based on network-attached storage that guarantees end-to-end encryption for all user data. We describe the design of this system, focusing on the features that allow it to ensure that data is written and read only by authorized users, even in the face of attacks such as network snooping and physically capturing the storage media. Our work shows that such a system is feasible given the speeds of today’s microprocessors, and we discuss benchmark results using several popular encryption and authentication algorithms that could be used on storage devices in such a system. Based on these calculations, we present the overall performance of the system, showing that it is nearly as fast as the non-encrypted file systems in wide use today."
10.1.1.79.4446,Symbolic Computational Techniques for Solving Games,,Software Tools for Technology Transfer manuscript No. (will be inserted by the editor)
10.1.1.78.9124,"Mobility Helps Peer-to-Peer Security Srdjan Capkun, Member, IEEE Computer Society,",,"Abstract—We propose a straightforward technique to provide peer-to-peer security in mobile networks. We show that far from being a hurdle, mobility can be exploited to set up security associations among users. We leverage on the temporary vicinity of users, during which appropriate cryptographic protocols are run. We illustrate the operation of the solution in two scenarios, both in the framework of mobile ad hoc networks. In the first scenario, we assume the presence of an offline certification authority and we show how mobility helps to set up security associations for secure routing; in this case, the security protocol runs over one-hop radio links. We further show that mobility can be used for the periodic renewal of vital security information (e.g., the distribution of hash chain/Merkle tree roots). In the second scenario, we consider fully self-organized security: Users authenticate each other by visual contact and by the activation of an appropriate secure side channel of their personal device; we show that the process can be fuelled by taking advantage of trusted acquaintances. We then show that the proposed solution is generic: It can be deployed on any mobile network and it can be implemented either with symmetric or with asymmetric cryptography. We provide a performance analysis by studying the behavior of the solution in various scenarios. Index Terms—Mobile ad hoc networks, network-level security and protection. 1"
10.1.1.78.833,Knowledge-level reflection,1992,"This paper presents an overview of the reflect project. It defines the notion of knowledge level reflection that has been central to the project, it compares this notion with existing approaches to reflection in related fields, and investigates some of the consequences of the concept of knowledge level reflection: what is a general architecture for knowledge level reflection, how to model the object component in such an architecture, what is the nature of reflective theories, how can we design such architectures, and what are the results of our actual experiments with such systems? Keywords: Knowledge-based systems, reflection, meta-reasoning."
10.1.1.78.7325,Managing Deadline Miss Ratio and Sensor Data Freshness in Real-Time Databases,2004," The demand for real-time data services is increasing in many applications including e-commerce, agile manufacturing, and telecommunications network management. In these applications, it is desirable to execute transactions within their deadlines, i.e., before the real-world status changes, using fresh (temporally consistent) data. However, meeting these fundamental requirements is challenging due to dynamic workloads and data access patterns in these applications. Further, transaction timeliness and data freshness requirements may conflict. In this paper, we define average/transient deadline miss ratio and new data freshness metrics to let a database administrator specify the desired quality of real-time data services for a specific application. We also present a novel QoS management architecture for real-time databases to support the desired QoS even in the presence of unpredictable workloads and access patterns. To prevent overload and support the desired QoS, the presented architecture applies feedback control, admission control, and flexible freshness management schemes. A simulation study shows that our QoS-aware approach can achieve a near zero miss ratio and perfect freshness, meeting basic requirements for real-time transaction processing. In contrast, baseline approaches fail to support the desired miss ratio and/or freshness in the presence of unpredictable workloads and data access patterns.  "
10.1.1.78.6911,Describing groups,,"Abstract. Two ways of describing a group are considered. 1. A group is finiteautomaton presentable if its elements can be represented by strings over a finite alphabet, in such a way that the set of representing strings and the group operation can be recognized by finite automata. 2. An infinite f.g. group is quasi-finitely axiomatizable if there is a description consisting of a single first-order sentence, together with the information that the group is finitely generated. In the first part of the paper we survey examples of FA-presentable groups, but also discuss theorems restricting this class. In the second part, we give examples of quasi-finitely axiomatizable groups, consider the algebraic content of the notion, and compare it to the notion of a group which is a prime model. We also show that if a structure is bi-interpretable in parameters with the ring of integers, then it is prime and quasi-finitely axiomatizable. Contents"
10.1.1.78.6412,On the Group of Inner Automorphisms MML Identifier:AUTGROUP.,,"the notation and terminology for this paper. For simplicity, we use the following convention: G denotes a strict group, H denotes a subgroup of G, a, b, x denote elements of G, and h denotes a homomorphism from G to G. We now state the proposition (1) For all a, b such that b is an element of H holds b a ∈ H iff H is normal. Let us consider G. The functor Aut(G) yielding a non empty set of functions from the carrier of G to the carrier of G is defined as follows: (Def. 1) Every element of Aut(G) is a homomorphism from G to G and for every h holds h ∈ Aut(G) iff h is one-to-one and an epimorphism. We now state several propositions: (3) 1 Aut(G)  ⊆ (the carrier of G) the carrier of G. (4) idthe carrier of G is an element of Aut(G). (5) For every h holds h ∈ Aut(G) iff h is an isomorphism. (6) For every element f of Aut(G) holds f −1 is a homomorphism from G to G. (7) For every element f of Aut(G) holds f −1 is an element of Aut(G)."
